country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions,surplus_deficit_GDP[%],familiy_income_gini_coeff,GDP_per_capita[$],inflation_rate[%],military_expenditures[%],map_reference,biggest_official_language,population,Inequality-adjusted HDI (IHDI),Inequality in life expectancy [%],Inequality in education [%],Inequality in income [%],Quintile ratio,Palma ratio ,Gini coefficient,HDI rank,Human Development Index,Life expectancy at birth [years],Expected years of schooling [years],Mean years of schooling [years],Gross national income (GNI) per capita [$],HDI  Rank 2016
Burkina Faso,134,4.03200006484985,0.3502277135849000,1.04328000545502,0.21584425866603900,0.32436785101890600,0.250864684581757,0.12032810598611800,1.72721290588379,14.0,89,-5.3,39.5,1900.0,0.4,1.23,Africa,French,20107509,0.288,32.0,39.2,24.2,5.3,1.5,35.3,183,0.423,60.8,8.5,1.5,1650,182
Niger,135,4.02799987792969,0.16192533075809500,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.13857294619083400,1.87398338317871,4.3,46,-4.4,34.0,1200.0,2.4,4.0,Africa,French,19245344,0.250,34.9,35.0,16.4,5.4,1.4,34.3,189,0.354,60.4,5.4,2.0,906,188
Malawi,136,3.97000002861023,0.233442038297653,0.5125688314437870,0.315089583396912,0.466914653778076,0.28717046976089500,0.0727116540074348,2.08178615570068,9.6,40,-3.9,46.1,1200.0,11.5,0.61,Africa,English,19196246,0.332,30.3,28.4,32.4,9.4,2.5,45.5,171,0.477,63.7,10.8,4.5,1064,170
Chad,137,3.9360001087188700,0.43801298737525900,0.953855872154236,0.0411347150802612,0.16234202682972000,0.216113850474358,0.0535818822681904,2.07123804092407,5.0,52,-3.5,43.3,2300.0,-0.9,2.79,Africa,French,12075985,0.249,42.4,43.0,28.4,10.0,2.2,43.3,186,0.404,53.2,8.0,2.3,1750,185
Zimbabwe,138,3.875,0.3758465349674220,1.08309590816498,0.19676375389099100,0.336384207010269,0.189143493771553,0.0953753814101219,1.59797024726868,23.1,102,-7.0,43.2,2300.0,1.3,2.2,Africa,Shona,13805084,,26.6,16.8,,8.6,2.2,43.2,156,0.535,61.7,10.3,8.1,1683,155
Lesotho,139,3.80800008773804,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.157497271895409,0.119094640016556,1.42983531951904,27.4,122,-3.8,63.2,3600.0,5.6,1.85,Africa,Sesotho,1958042,0.359,28.5,21.9,41.1,20.8,4.3,54.2,159,0.520,54.6,10.6,6.3,3255,159
Angola,140,3.79500007629395,0.8584281802177430,1.10441195964813,0.0498686656355858,0.0,0.09792649000883100,0.0697203353047371,1.61448240280151,13.0,45,-7.3,42.7,6800.0,31.7,2.95,Africa,Portuguese,29310273,0.393,33.8,34.3,28.9,9.0,2.2,42.7,147,0.581,61.8,11.8,5.1,5790,145
Afghanistan,141,3.79399991035461,0.401477217674255,0.581543326377869,0.18074677884578700,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321,10.6,70,-14.5,,2000.0,5.0,0.89,Asia,Afghan Persian or Dari,34124811,0.350,28.4,45.4,10.8,,,,168,0.498,64.0,10.4,3.8,1824,168
Botswana,142,3.7660000324249300,1.12209415435791,1.22155499458313,0.34175550937652600,0.505196332931519,0.0993484482169151,0.0985831990838051,0.3779137134552,39.4,146,-2.8,60.5,17800.0,3.3,3.37,Africa,Setswana,2214858,,18.6,,,23.2,5.8,60.5,101,0.717,67.6,12.6,9.3,15534,102
Benin,143,3.65700006484985,0.43108540773391700,0.435299843549728,0.20993021130561800,0.42596277594566300,0.207948461174965,0.0609290152788162,1.88563096523285,12.0,79,-9.4,36.5,2300.0,0.1,1.14,Africa,French,11038805,0.326,35.0,43.7,30.3,16.3,2.9,47.8,163,0.515,61.2,12.6,3.6,2061,161
